country,date,cases
angola,16/03/20,0
angola,17/03/20,0
angola,18/03/20,0
angola,19/03/20,0
angola,20/03/20,1
angola,21/03/20,2
angola,22/03/20,2
angola,23/03/20,3
angola,24/03/20,3
angola,25/03/20,3
angola,26/03/20,4
angola,27/03/20,4
angola,28/03/20,5
angola,29/03/20,7
angola,30/03/20,7
angola,31/03/20,7
angola,01/04/20,8
angola,02/04/20,8
angola,03/04/20,8
angola,04/04/20,10
angola,05/04/20,14
angola,06/04/20,16
angola,07/04/20,17
antigua and barbuda,22/01/20,0
antigua and barbuda,23/01/20,0
antigua and barbuda,24/01/20,0
antigua and barbuda,25/01/20,0
antigua and barbuda,26/01/20,0
antigua and barbuda,27/01/20,0
antigua and barbuda,28/01/20,0
antigua and barbuda,29/01/20,0
antigua and barbuda,30/01/20,0
antigua and barbuda,31/01/20,0
antigua and barbuda,01/02/20,0
antigua and barbuda,02/02/20,0
antigua and barbuda,03/02/20,0
antigua and barbuda,04/02/20,0
antigua and barbuda,05/02/20,0
antigua and barbuda,06/02/20,0
antigua and barbuda,07/02/20,0
antigua and barbuda,08/02/20,0
antigua and barbuda,09/02/20,0
antigua and barbuda,10/02/20,0
antigua and barbuda,11/02/20,0
antigua and barbuda,12/02/20,0
antigua and barbuda,13/02/20,0
antigua and barbuda,14/02/20,0
antigua and barbuda,15/02/20,0
antigua and barbuda,16/02/20,0
antigua and barbuda,17/02/20,0
antigua and barbuda,18/02/20,0
antigua and barbuda,19/02/20,0
antigua and barbuda,20/02/20,0
antigua and barbuda,21/02/20,0
antigua and barbuda,22/02/20,0
antigua and barbuda,23/02/20,0
antigua and barbuda,24/02/20,0
antigua and barbuda,25/02/20,0
antigua and barbuda,26/02/20,0
antigua and barbuda,27/02/20,0
antigua and barbuda,28/02/20,0
antigua and barbuda,29/02/20,0
antigua and barbuda,01/03/20,0
antigua and barbuda,02/03/20,0
antigua and barbuda,03/03/20,0
antigua and barbuda,04/03/20,0
antigua and barbuda,05/03/20,0
antigua and barbuda,06/03/20,0
antigua and barbuda,07/03/20,0
antigua and barbuda,08/03/20,0
antigua and barbuda,09/03/20,0
antigua and barbuda,10/03/20,0
antigua and barbuda,11/03/20,0
antigua and barbuda,12/03/20,0
antigua and barbuda,13/03/20,1
antigua and barbuda,14/03/20,1
antigua and barbuda,15/03/20,1
antigua and barbuda,16/03/20,1
antigua and barbuda,17/03/20,1
antigua and barbuda,18/03/20,1
antigua and barbuda,19/03/20,1
antigua and barbuda,20/03/20,1
antigua and barbuda,21/03/20,1
antigua and barbuda,22/03/20,1
antigua and barbuda,23/03/20,3
antigua and barbuda,24/03/20,3
antigua and barbuda,25/03/20,3
antigua and barbuda,26/03/20,7
antigua and barbuda,27/03/20,7
antigua and barbuda,28/03/20,7
antigua and barbuda,29/03/20,7
antigua and barbuda,30/03/20,7
antigua and barbuda,31/03/20,7
antigua and barbuda,01/04/20,7
antigua and barbuda,02/04/20,9
antigua and barbuda,03/04/20,15
antigua and barbuda,04/04/20,15
antigua and barbuda,05/04/20,15
antigua and barbuda,06/04/20,15
antigua and barbuda,07/04/20,19
argentina,22/01/20,0
argentina,23/01/20,0
argentina,24/01/20,0
argentina,25/01/20,0
argentina,26/01/20,0
argentina,27/01/20,0
argentina,28/01/20,0
argentina,29/01/20,0
argentina,30/01/20,0
argentina,31/01/20,0
argentina,01/02/20,0
argentina,02/02/20,0
argentina,03/02/20,0
argentina,04/02/20,0
argentina,05/02/20,0
argentina,06/02/20,0
argentina,07/02/20,0
argentina,08/02/20,0
argentina,09/02/20,0
argentina,10/02/20,0
argentina,11/02/20,0
argentina,12/02/20,0
argentina,13/02/20,0
argentina,14/02/20,0
argentina,15/02/20,0
argentina,16/02/20,0
argentina,17/02/20,0
argentina,18/02/20,0
argentina,19/02/20,0
argentina,20/02/20,0
argentina,21/02/20,0
argentina,22/02/20,0
argentina,23/02/20,0
argentina,24/02/20,0
argentina,25/02/20,0
argentina,26/02/20,0
argentina,27/02/20,0
argentina,28/02/20,0
argentina,29/02/20,0
argentina,01/03/20,0
argentina,02/03/20,0
argentina,03/03/20,1
argentina,04/03/20,1
argentina,05/03/20,1
argentina,06/03/20,2
argentina,07/03/20,8
argentina,08/03/20,12
argentina,09/03/20,12
argentina,10/03/20,17
argentina,11/03/20,19
argentina,12/03/20,19
argentina,13/03/20,31
argentina,14/03/20,34
argentina,15/03/20,45
argentina,16/03/20,56
argentina,17/03/20,68
argentina,18/03/20,79
argentina,19/03/20,97
argentina,20/03/20,128
argentina,21/03/20,158
argentina,22/03/20,266
argentina,23/03/20,301
argentina,24/03/20,387
argentina,25/03/20,387
argentina,26/03/20,502
argentina,27/03/20,589
argentina,28/03/20,690
argentina,29/03/20,745
argentina,30/03/20,820
argentina,31/03/20,1054
argentina,01/04/20,1054
argentina,02/04/20,1133
argentina,03/04/20,1265
argentina,04/04/20,1451
argentina,05/04/20,1451
argentina,06/04/20,1554
argentina,07/04/20,1628
armenia,22/01/20,0
armenia,23/01/20,0
armenia,24/01/20,0
armenia,25/01/20,0
armenia,26/01/20,0
armenia,27/01/20,0
armenia,28/01/20,0
armenia,29/01/20,0
armenia,30/01/20,0
armenia,31/01/20,0
armenia,01/02/20,0
armenia,02/02/20,0
armenia,03/02/20,0
armenia,04/02/20,0
armenia,05/02/20,0
armenia,06/02/20,0
armenia,07/02/20,0
armenia,08/02/20,0
armenia,09/02/20,0
armenia,10/02/20,0
armenia,11/02/20,0
armenia,12/02/20,0
armenia,13/02/20,0
armenia,14/02/20,0
armenia,15/02/20,0
armenia,16/02/20,0
armenia,17/02/20,0
armenia,18/02/20,0
armenia,19/02/20,0
armenia,20/02/20,0
armenia,21/02/20,0
armenia,22/02/20,0
armenia,23/02/20,0
armenia,24/02/20,0
armenia,25/02/20,0
armenia,26/02/20,0
armenia,27/02/20,0
armenia,28/02/20,0
armenia,29/02/20,0
armenia,01/03/20,1
armenia,02/03/20,1
armenia,03/03/20,1
armenia,04/03/20,1
armenia,05/03/20,1
armenia,06/03/20,1
armenia,07/03/20,1
armenia,08/03/20,1
armenia,09/03/20,1
armenia,10/03/20,1
armenia,11/03/20,1
armenia,12/03/20,4
armenia,13/03/20,8
armenia,14/03/20,18
armenia,15/03/20,26
armenia,16/03/20,52
armenia,17/03/20,78
armenia,18/03/20,84
armenia,19/03/20,115
armenia,20/03/20,136
armenia,21/03/20,160
armenia,22/03/20,194
armenia,23/03/20,235
armenia,24/03/20,249
armenia,25/03/20,265
armenia,26/03/20,290
armenia,27/03/20,329
armenia,28/03/20,407
armenia,29/03/20,424
armenia,30/03/20,482
armenia,31/03/20,532
armenia,01/04/20,571
armenia,02/04/20,663
armenia,03/04/20,736
armenia,04/04/20,770
armenia,05/04/20,822
armenia,06/04/20,833
armenia,07/04/20,853
australia,22/01/20,0
australia,23/01/20,0
australia,24/01/20,0
australia,25/01/20,0
australia,26/01/20,4
australia,27/01/20,5
australia,28/01/20,5
australia,29/01/20,6
australia,30/01/20,9
australia,31/01/20,9
australia,01/02/20,12
australia,02/02/20,12
australia,03/02/20,12
australia,04/02/20,13
australia,05/02/20,13
australia,06/02/20,14
australia,07/02/20,15
australia,08/02/20,15
australia,09/02/20,15
australia,10/02/20,15
australia,11/02/20,15
australia,12/02/20,15
australia,13/02/20,15
australia,14/02/20,15
australia,15/02/20,15
australia,16/02/20,15
australia,17/02/20,15
australia,18/02/20,15
australia,19/02/20,15
australia,20/02/20,15
australia,21/02/20,19
australia,22/02/20,22
australia,23/02/20,22
australia,24/02/20,22
australia,25/02/20,22
australia,26/02/20,22
australia,27/02/20,23
australia,28/02/20,23
australia,29/02/20,25
australia,01/03/20,27
australia,02/03/20,30
australia,03/03/20,39
australia,04/03/20,52
australia,05/03/20,55
australia,06/03/20,60
australia,07/03/20,63
australia,08/03/20,76
australia,09/03/20,91
australia,10/03/20,107
australia,11/03/20,128
australia,12/03/20,128
australia,13/03/20,200
australia,14/03/20,250
australia,15/03/20,297
australia,16/03/20,377
australia,17/03/20,452
australia,18/03/20,568
australia,19/03/20,681
australia,20/03/20,791
australia,21/03/20,1071
australia,22/03/20,1549
australia,23/03/20,1682
australia,24/03/20,2044
australia,25/03/20,2364
australia,26/03/20,2810
australia,27/03/20,3143
australia,28/03/20,3640
australia,29/03/20,3984
australia,30/03/20,4361
australia,31/03/20,4559
australia,01/04/20,4862
australia,02/04/20,5116
australia,03/04/20,5330
australia,04/04/20,5550
australia,05/04/20,5687
australia,06/04/20,5797
australia,07/04/20,5895
austria,22/01/20,0
austria,23/01/20,0
austria,24/01/20,0
austria,25/01/20,0
austria,26/01/20,0
austria,27/01/20,0
austria,28/01/20,0
austria,29/01/20,0
austria,30/01/20,0
austria,31/01/20,0
austria,01/02/20,0
austria,02/02/20,0
austria,03/02/20,0
austria,04/02/20,0
austria,05/02/20,0
austria,06/02/20,0
austria,07/02/20,0
austria,08/02/20,0
austria,09/02/20,0
austria,10/02/20,0
austria,11/02/20,0
austria,12/02/20,0
austria,13/02/20,0
austria,14/02/20,0
austria,15/02/20,0
austria,16/02/20,0
austria,17/02/20,0
austria,18/02/20,0
austria,19/02/20,0
austria,20/02/20,0
austria,21/02/20,0
austria,22/02/20,0
austria,23/02/20,0
austria,24/02/20,0
austria,25/02/20,2
austria,26/02/20,2
austria,27/02/20,3
austria,28/02/20,3
austria,29/02/20,9
austria,01/03/20,14
austria,02/03/20,18
austria,03/03/20,21
austria,04/03/20,29
austria,05/03/20,41
austria,06/03/20,55
austria,07/03/20,79
austria,08/03/20,104
austria,09/03/20,131
austria,10/03/20,182
austria,11/03/20,246
austria,12/03/20,302
austria,13/03/20,504
austria,14/03/20,655
austria,15/03/20,860
austria,16/03/20,1018
austria,17/03/20,1332
austria,18/03/20,1646
austria,19/03/20,2013
austria,20/03/20,2388
austria,21/03/20,2814
austria,22/03/20,3582
austria,23/03/20,4474
austria,24/03/20,5283
austria,25/03/20,5588
austria,26/03/20,6909
austria,27/03/20,7657
austria,28/03/20,8271
austria,29/03/20,8788
austria,30/03/20,9618
austria,31/03/20,10180
austria,01/04/20,10711
austria,02/04/20,11129
austria,03/04/20,11524
austria,04/04/20,11781
austria,05/04/20,12051
austria,06/04/20,12297
austria,07/04/20,12639
azerbaijan,22/01/20,0
azerbaijan,23/01/20,0
azerbaijan,24/01/20,0
azerbaijan,25/01/20,0
azerbaijan,26/01/20,0
azerbaijan,27/01/20,0
azerbaijan,28/01/20,0
azerbaijan,29/01/20,0
azerbaijan,30/01/20,0
azerbaijan,31/01/20,0
azerbaijan,01/02/20,0
azerbaijan,02/02/20,0
azerbaijan,03/02/20,0
azerbaijan,04/02/20,0
azerbaijan,05/02/20,0
azerbaijan,06/02/20,0
azerbaijan,07/02/20,0
azerbaijan,08/02/20,0
azerbaijan,09/02/20,0
azerbaijan,10/02/20,0
azerbaijan,11/02/20,0
azerbaijan,12/02/20,0
azerbaijan,13/02/20,0
azerbaijan,14/02/20,0
azerbaijan,15/02/20,0
azerbaijan,16/02/20,0
azerbaijan,17/02/20,0
azerbaijan,18/02/20,0
azerbaijan,19/02/20,0
azerbaijan,20/02/20,0
azerbaijan,21/02/20,0
azerbaijan,22/02/20,0
azerbaijan,23/02/20,0
azerbaijan,24/02/20,0
azerbaijan,25/02/20,0
azerbaijan,26/02/20,0
azerbaijan,27/02/20,0
azerbaijan,28/02/20,0
azerbaijan,29/02/20,0
azerbaijan,01/03/20,3
azerbaijan,02/03/20,3
azerbaijan,03/03/20,3
azerbaijan,04/03/20,3
azerbaijan,05/03/20,6
azerbaijan,06/03/20,6
azerbaijan,07/03/20,9
azerbaijan,08/03/20,9
azerbaijan,09/03/20,9
azerbaijan,10/03/20,11
azerbaijan,11/03/20,11
azerbaijan,12/03/20,11
azerbaijan,13/03/20,15
azerbaijan,14/03/20,15
azerbaijan,15/03/20,23
azerbaijan,16/03/20,28
azerbaijan,17/03/20,28
azerbaijan,18/03/20,28
azerbaijan,19/03/20,44
azerbaijan,20/03/20,44
azerbaijan,21/03/20,53
azerbaijan,22/03/20,65
azerbaijan,23/03/20,72
azerbaijan,24/03/20,87
azerbaijan,25/03/20,93
azerbaijan,26/03/20,122
azerbaijan,27/03/20,165
azerbaijan,28/03/20,182
azerbaijan,29/03/20,209
azerbaijan,30/03/20,273
azerbaijan,31/03/20,298
azerbaijan,01/04/20,359
azerbaijan,02/04/20,400
azerbaijan,03/04/20,443
azerbaijan,04/04/20,521
azerbaijan,05/04/20,584
azerbaijan,06/04/20,641
azerbaijan,07/04/20,717
bahamas,09/03/20,0
bahamas,10/03/20,0
bahamas,11/03/20,0
bahamas,12/03/20,0
bahamas,13/03/20,0
bahamas,14/03/20,0
bahamas,15/03/20,0
bahamas,16/03/20,1
bahamas,17/03/20,1
bahamas,18/03/20,1
bahamas,19/03/20,3
bahamas,20/03/20,3
bahamas,21/03/20,4
bahamas,22/03/20,4
bahamas,23/03/20,4
bahamas,24/03/20,5
bahamas,25/03/20,5
bahamas,26/03/20,9
bahamas,27/03/20,10
bahamas,28/03/20,10
bahamas,29/03/20,11
bahamas,30/03/20,14
bahamas,31/03/20,14
bahamas,01/04/20,21
bahamas,02/04/20,24
bahamas,03/04/20,24
bahamas,04/04/20,28
bahamas,05/04/20,28
bahamas,06/04/20,29
bahamas,07/04/20,33
"bahamas, the",22/01/20,0
"bahamas, the",23/01/20,0
"bahamas, the",24/01/20,0
"bahamas, the",25/01/20,0
